
*                 FILE                 DATE               TARGET                 FOIL     DEE1_VOLTAGE_MAX     DEE1_VOLTAGE_MIN     DEE1_VOLTAGE_AVE     DEE1_VOLTAGE_STD     DEE2_VOLTAGE_MAX     DEE2_VOLTAGE_MIN     DEE2_VOLTAGE_AVE     DEE2_VOLTAGE_STD    FORWARD_POWER_MAX    FORWARD_POWER_MIN    FORWARD_POWER_AVE    FORWARD_POWER_STD  REFLECTED_POWER_MAX  REFLECTED_POWER_MIN  REFLECTED_POWER_AVE  REFLECTED_POWER_STD       PHASE_LOAD_MAX       PHASE_LOAD_MIN       PHASE_LOAD_AVE       PHASE_LOAD_STD            FLAP1_MAX            FLAP1_MIN            FLAP1_AVE            FLAP1_STD            FLAP2_MAX            FLAP2_MIN            FLAP2_AVE            FLAP2_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4193           2020-01-24                    4                    5                 37.7                   37        37.3194382022       0.118069929929                 40.7                 39.9        40.3176404494       0.143523262585                 11.2                 10.4        10.7146441948       0.139926963272                  0.3                  0.1       0.194831460674      0.0286308950053                 38.7                 34.9        37.0549812734       0.778794023305                 46.7                 41.5        44.0778651685       0.832504868666                 38.7                 34.9        37.0549812734       0.778794023305
                  4194           2020-01-27                    1                    3                 37.5                 37.1        37.3073446328       0.104163386906                 40.6                 40.1        40.2960451977        0.13120974795                 11.2                 10.4        10.6920903955       0.139994482411                  0.3                  0.1       0.165536723164      0.0509665898818                 33.3                 31.5        32.5039548023       0.323008733667                 42.3                 37.5        39.9920903955       0.953462102304                 33.3                 31.5        32.5039548023       0.323008733667
                  4195           2020-01-27                    1                    3                 37.7                   37        37.3175470333       0.107226191677                 40.8                   40        40.3188856729       0.127531057868                 11.1                 10.4        10.6879160637       0.127505847496                  0.3                  0.1         0.1749276411      0.0453818241101                 37.6                 32.4        35.2515195369        1.18290152265                 45.3                 37.8        42.3387120116        1.30808432178                 37.6                 32.4        35.2515195369        1.18290152265
                  4196           2020-01-27                    1                    3                 38.9                   37        37.3139331815       0.116873099025                 42.2                 39.9        40.3124525437       0.141383172374                 11.1                 10.3        10.6814350797       0.138522104186                  0.5                  0.1       0.181093394077      0.0436492674813                 38.6                 34.8        37.0013287775       0.828146045648                 46.5                 41.4        44.0900531511       0.818154717765                 38.6                 34.8        37.0013287775       0.828146045648
                  4197           2020-01-27                    1                    3                 37.7                   37        37.3162448499       0.103816637102                 40.8                 39.9        40.3161859918       0.127142926871                 11.1                 10.3         10.674043555       0.129574212788                  0.3                  0.1        0.18222483814      0.0410514407042                 38.2                 33.7        35.9273690406       0.843580941553                 45.8                 40.7        43.4491465568       0.781204403028                 38.2                 33.7        35.9273690406       0.843580941553
                  4199           2020-01-28                    1                    3                 37.7                   37        37.3188405797       0.100000525098                 40.7                   40        40.3191666667       0.121249657602                   11                 10.3         10.680615942       0.125387736177                  0.3                  0.1       0.169673913043      0.0475169936106                 36.7                 32.3        34.7829347826        1.08374455321                 44.6                 39.1        42.1747826087        1.10028732571                 36.7                 32.3        34.7829347826        1.08374455321
                  4200           2020-01-28                    1                    3                 37.7                   37        37.3179389313       0.112699137119                 40.8                 39.7        40.3204580153         0.1363978386                 11.1                 10.4        10.7064885496       0.133178544361                  0.3                  0.1       0.190877862595      0.0341303122199                 38.3                 33.7        36.2167557252       0.957954728022                 46.3                 40.7        43.5590076336       0.912252773128                 38.3                 33.7        36.2167557252       0.957954728022
                  4201           2020-01-28                    1                    3                 37.6                   37        37.3166163142       0.103687455532                 40.7                   40        40.3145770393       0.126743619056                 11.2                 10.3        10.6883685801       0.133625022455                  0.3                  0.1       0.190785498489       0.031903165911                 36.7                 33.2        35.0367069486       0.774536233082                 45.1                 40.2         42.808081571       0.800162147083                 36.7                 33.2        35.0367069486       0.774536233082
                  4203           2020-01-29                    1                    3                 37.6                   37        37.3173959828       0.102210670201                 40.7                 39.8         40.318687231       0.124531252042                 11.1                 10.3        10.7083572453        0.13046555555                  0.3                  0.1       0.186908177905       0.037363565743                 37.5                 32.2        34.8383787661        1.16790126055                 45.2                 37.8        41.9912123386        1.30273890683                 37.5                 32.2        34.8383787661        1.16790126055
                  4204           2020-01-29                    1                    4                 37.7                 18.6        37.3113671275        0.38200876462                 40.8                 20.1        40.3091781874        0.41789403314                 11.1                 10.3        10.6865207373       0.135055427377                  0.3                  0.1         0.1866359447      0.0378722226936                 38.1                 33.4        35.9093701997       0.981086768322                 46.1                 40.2        43.4324884793       0.944002711489                 38.1                 33.4        35.9093701997       0.981086768322
